0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.45597,-2.787133,0.734058,0.119413,-0.098362,-0.744545,0.649399,-0.155611,-0.169268,0.409005,0.313095,-0.191039,-0.064663,-0.449631,-0.411109,-0.243831,0.883805,-0.599771,-0.002166,-0.088749,0.532208,0.821906,1.301499,-0.629274,-1.861253,-0.01258
1.455834,-2.787427,0.733993,0.119202,-0.098699,-0.744274,0.649696,-0.154666,-0.169416,0.408073,0.313421,-0.191345,-0.064888,-0.448288,-0.411706,-0.244721,0.884446,-0.600652,-0.002073,-0.090895,0.535258,0.818638,1.302628,-0.628838,-1.860824,-0.011814
1.455669,-2.787734,0.733922,0.118938,-0.099004,-0.743992,0.650021,-0.153784,-0.169378,0.407084,0.313912,-0.19174,-0.065156,-0.446798,-0.412168,-0.245764,0.885053,-0.60157,-0.002012,-0.093117,0.537791,0.815722,1.303535,-0.627685,-1.860496,-0.01156
1.455494,-2.788049,0.73385,0.118603,-0.099278,-0.743696,0.65038,-0.152917,-0.169173,0.406012,0.314548,-0.192214,-0.06543,-0.445123,-0.41251,-0.246985,0.885595,-0.602496,-0.001962,-0.095395,0.539734,0.813205,1.304308,-0.626134,-1.859695,-0.01193
1.455316,-2.788359,0.733789,0.118191,-0.099506,-0.74338,0.650781,-0.152037,-0.16879,0.404826,0.315267,-0.192714,-0.065693,-0.443237,-0.412698,-0.24843,0.885972,-0.603361,-0.001929,-0.097722,0.540962,0.81127,1.305,-0.624417,-1.858325,-0.01293
1.455126,-2.788646,0.733746,0.117728,-0.099699,-0.743035,0.651229,-0.151145,-0.168286,0.403507,0.315994,-0.193164,-0.065949,-0.44116,-0.412765,-0.250099,0.886112,-0.60411,-0.001939,-0.099955,0.541576,0.809966,1.30542,-0.622924,-1.856879,-0.014199
1.45494,-2.788888,0.733724,0.117303,-0.099869,-0.742653,0.651715,-0.150379,-0.167824,0.402103,0.316613,-0.193482,-0.066176,-0.439103,-0.412846,-0.2519,0.886044,-0.604709,-0.001974,-0.102009,0.54202,0.809161,1.305205,-0.621901,-1.855807,-0.01527
1.454787,-2.789114,0.733719,0.117022,-0.099965,-0.742269,0.652188,-0.149843,-0.167523,0.400762,0.316995,-0.193679,-0.066355,-0.43738,-0.413003,-0.253613,0.885828,-0.605198,-0.001971,-0.103932,0.543089,0.808842,1.305292,-0.621145,-1.855289,-0.015941
1.454661,-2.789328,0.733723,0.116845,-0.100035,-0.741921,0.652605,-0.149411,-0.167371,0.399583,0.317177,-0.193795,-0.066501,-0.435939,-0.41322,-0.255135,0.885576,-0.605608,-0.001951,-0.105655,0.544448,0.808347,1.305992,-0.62061,-1.855257,-0.016224
1.454551,-2.789536,0.733729,0.116744,-0.100098,-0.74162,0.652955,-0.149015,-0.167341,0.398579,0.317204,-0.19386,-0.066635,-0.434742,-0.413479,-0.256399,0.885373,-0.605979,-0.001919,-0.107084,0.545619,0.807678,1.307348,-0.620238,-1.855432,-0.016398
1.454466,-2.789723,0.733733,0.116728,-0.100146,-0.741374,0.653231,-0.148752,-0.16741,0.397797,0.317179,-0.19391,-0.066745,-0.433902,-0.413771,-0.25736,0.885233,-0.606317,-0.001878,-0.1082,0.546943,0.806788,1.308435,-0.619906,-1.855609,-0.016571
1.454406,-2.789886,0.733724,0.116727,-0.100206,-0.741209,0.653408,-0.148537,-0.167512,0.397284,0.317247,-0.194022,-0.066832,-0.43332,-0.41404,-0.257974,0.885244,-0.606634,-0.001846,-0.109129,0.547869,0.806091,1.309004,-0.6195,-1.85599,-0.016707
1.454382,-2.790038,0.733704,0.116752,-0.100227,-0.741135,0.653484,-0.148454,-0.167547,0.39706,0.317461,-0.194255,-0.066879,-0.433075,-0.414236,-0.258238,0.885414,-0.606934,-0.001808,-0.109975,0.548439,0.80619,1.308934,-0.61894,-1.856253,-0.016872
1.45439,-2.790192,0.733678,0.116807,-0.100149,-0.741144,0.653477,-0.148579,-0.167476,0.39708,0.317838,-0.194632,-0.066889,-0.433143,-0.414274,-0.258246,0.885639,-0.607194,-0.001763,-0.11083,0.549346,0.806651,1.308647,-0.618292,-1.856256,-0.01716
1.454404,-2.790361,0.733652,0.116832,-0.10001,-0.741179,0.653454,-0.148787,-0.167254,0.397154,0.318394,-0.19514,-0.066895,-0.433206,-0.41416,-0.258252,0.885813,-0.607428,-0.001727,-0.111445,0.549913,0.807074,1.308329,-0.617454,-1.856148,-0.01762
1.454404,-2.790544,0.733629,0.116765,-0.099854,-0.741197,0.653469,-0.148957,-0.166826,0.397139,0.319153,-0.195759,-0.066922,-0.433002,-0.413894,-0.258459,0.885874,-0.607633,-0.001703,-0.111756,0.549393,0.807439,1.307853,-0.616693,-1.856261,-0.01785
1.45439,-2.790743,0.733607,0.116673,-0.099651,-0.741176,0.653541,-0.149222,-0.166274,0.396998,0.32009,-0.196475,-0.066975,-0.432671,-0.413575,-0.258849,0.885853,-0.607849,-0.001722,-0.11198,0.548521,0.808236,1.306689,-0.616262,-1.856755,-0.017744
1.454371,-2.79096,0.733575,0.116659,-0.099412,-0.74111,0.653654,-0.149697,-0.165754,0.396785,0.321142,-0.197261,-0.067043,-0.432492,-0.413353,-0.259337,0.885935,-0.608136,-0.001712,-0.112151,0.548151,0.809244,1.3049,-0.616137,-1.857425,-0.017935
